Accuracy: 0.8189   |   Normal: 50   |   Abnormal: 50
LP0   |   First Stage: 492.91274369081987   |   Second Stage: 354.04537955274964
LP1   |   First Stage: 491.4285157261653   |   Second Stage: 356.4885655536382
LP2   |   First Stage: 487.3500738536801   |   Second Stage: 354.96976717866676
LP4   |   First Stage: 490.8872809835653   |   Second Stage: 355.7594108912922
LP5   |   First Stage: 484.56671018611837   |   Second Stage: 354.5987795113006
LP8   |   First Stage: 487.5242383071278   |   Second Stage: 352.70626571118163
LP11   |   First Stage: 484.0260517972994   |   Second Stage: 352.6820013626435
LP14   |   First Stage: 496.3406797745288   |   Second Stage: 357.99861286133347
LP16   |   First Stage: 489.1826343817405   |   Second Stage: 352.72476567752165
LP17   |   First Stage: 490.4302589160481   |   Second Stage: 352.8681517585456
LP19   |   First Stage: 489.10399965253094   |   Second Stage: 354.2340146869186
LP20   |   First Stage: 493.7176346052491   |   Second Stage: 352.4605712351983
LP23   |   First Stage: 495.12291850802166   |   Second Stage: 358.6927202971972
LP25   |   First Stage: 484.8893273019338   |   Second Stage: 352.61500657371226
LP28   |   First Stage: 492.22666534151097   |   Second Stage: 358.36726732719495
LP29   |   First Stage: 490.7902960720202   |   Second Stage: 358.0071433239593
LP31   |   First Stage: 493.5284971151171   |   Second Stage: 356.0308481166827
LP32   |   First Stage: 491.71200376729547   |   Second Stage: 358.0922565932062
LP34   |   First Stage: 489.12861600712597   |   Second Stage: 356.6447249296952
LP35   |   First Stage: 489.07297313670534   |   Second Stage: 356.29393422025714
LP37   |   First Stage: 483.38790196696   |   Second Stage: 350.84202849319774
LP39   |   First Stage: 499.11096568934863   |   Second Stage: 359.7450242676938
LP41   |   First Stage: 484.8400915923659   |   Second Stage: 352.4084854788588
LP44   |   First Stage: 485.1060047387857   |   Second Stage: 352.90344530487647
LP45   |   First Stage: 500.47177565889154   |   Second Stage: 361.36248243969493
LP46   |   First Stage: 489.8355997942065   |   Second Stage: 357.31135361081914
LP47   |   First Stage: 489.394000861774   |   Second Stage: 352.7164822010292
LP51   |   First Stage: 485.5786189232338   |   Second Stage: 355.69987172616345
LP52   |   First Stage: 495.7574623122454   |   Second Stage: 356.5787274941363
LP58   |   First Stage: 497.772648657999   |   Second Stage: 356.180988774457
LP60   |   First Stage: 487.96900063561986   |   Second Stage: 354.54725835704403
LP61   |   First Stage: 488.7844296207868   |   Second Stage: 356.56522952438314
LP65   |   First Stage: 485.75293611346535   |   Second Stage: 353.29272247844153
LP68   |   First Stage: 490.211087675648   |   Second Stage: 355.0097085906708
LP73   |   First Stage: 490.47519926534136   |   Second Stage: 355.62709550573607
LP74   |   First Stage: 487.35207049676535   |   Second Stage: 356.28786670451774
LP76   |   First Stage: 495.31507974720455   |   Second Stage: 357.64996303847107
LP77   |   First Stage: 489.3172723146024   |   Second Stage: 353.8940322710332
LP78   |   First Stage: 483.27683223387896   |   Second Stage: 352.7244694969412
LP80   |   First Stage: 488.25458012430664   |   Second Stage: 357.8893751832945
LP81   |   First Stage: 482.48371058433133   |   Second Stage: 352.9112951114769
LP85   |   First Stage: 484.5534944003209   |   Second Stage: 355.1967005363766
LP87   |   First Stage: 490.2589899784431   |   Second Stage: 356.0504609292587
LP89   |   First Stage: 492.2947142379018   |   Second Stage: 356.30737975956276
LP90   |   First Stage: 483.7032759716533   |   Second Stage: 353.19623582167566
LP92   |   First Stage: 488.0485762489566   |   Second Stage: 353.01013515141244
LP94   |   First Stage: 488.5822395467441   |   Second Stage: 354.50953899417726
LP95   |   First Stage: 490.53451686180983   |   Second Stage: 352.5776562179115
LP97   |   First Stage: 486.9470615210356   |   Second Stage: 354.41293318330935
LP98   |   First Stage: 493.78963942383893   |   Second Stage: 353.2589174959963
