;c;user3_task10_time0;user3_task10_time1;user4_task1_time1;user3_task4_time2;user3_task10_time2;user4_task1_time2;user5_task4_time2;user5_task7_time2;user2_task7_time3;user3_task4_time3;user3_task10_time3;user4_task1_time3;user5_task4_time3;user5_task7_time3;user1_task7_time4;user2_task7_time4;user3_task4_time4;user3_task10_time4;user4_task1_time4;user4_task10_time4;user5_task1_time4;user5_task3_time4;user5_task4_time4;user5_task7_time4;user1_task7_time5;user2_task2_time5;user2_task3_time5;user2_task7_time5;user3_task4_time5;user3_task10_time5;user4_task1_time5;user4_task10_time5;user5_task1_time5;user5_task3_time5;user5_task4_time5;user5_task7_time5;user1_task5_time6;user1_task7_time6;user2_task2_time6;user2_task3_time6;user2_task4_time6;user2_task7_time6;user2_task10_time6;user3_task4_time6;user3_task10_time6;user4_task1_time6;user4_task10_time6;user5_task1_time6;user5_task3_time6;user5_task4_time6;user5_task6_time6;user5_task7_time6;user1_task5_time7;user1_task7_time7;user1_task9_time7;user2_task2_time7;user2_task3_time7;user2_task4_time7;user2_task7_time7;user2_task10_time7;user3_task4_time7;user3_task9_time7;user3_task10_time7;user4_task1_time7;user4_task10_time7;user5_task1_time7;user5_task3_time7;user5_task4_time7;user5_task6_time7;user1_task5_time8;user1_task7_time8;user1_task9_time8;user1_task10_time8;user2_task2_time8;user2_task3_time8;user2_task4_time8;user2_task7_time8;user2_task10_time8;user3_task4_time8;user3_task9_time8;user4_task1_time8;user4_task9_time8;user4_task10_time8;user5_task1_time8;user5_task3_time8;user5_task4_time8;user5_task6_time8;user1_task5_time9;user1_task7_time9;user1_task9_time9;user1_task10_time9;user2_task2_time9;user2_task3_time9;user2_task4_time9;user2_task7_time9;user2_task10_time9;user3_task4_time9;user3_task9_time9;user4_task9_time9;user4_task10_time9;user5_task1_time9;user5_task3_time9;user5_task4_time9;user5_task6_time9;user1_task5_time10;user1_task7_time10;user1_task9_time10;user1_task10_time10;user2_task2_time10;user2_task3_time10;user2_task4_time10;user2_task7_time10;user2_task10_time10;user3_task4_time10;user3_task6_time10;user3_task9_time10;user4_task9_time10;user4_task10_time10;user5_task1_time10;user5_task3_time10;user5_task4_time10;user5_task6_time10;user1_task5_time11;user1_task9_time11;user1_task10_time11;user2_task1_time11;user2_task2_time11;user2_task3_time11;user2_task4_time11;user2_task7_time11;user2_task10_time11;user3_task3_time11;user3_task4_time11;user3_task6_time11;user3_task9_time11;user4_task2_time11;user4_task4_time11;user4_task9_time11;user4_task10_time11;user5_task1_time11;user5_task3_time11;user5_task4_time11;user5_task6_time11;user1_task4_time12;user1_task5_time12;user1_task8_time12;user1_task9_time12;user1_task10_time12;user2_task1_time12;user2_task3_time12;user2_task4_time12;user2_task7_time12;user3_task3_time12;user3_task4_time12;user3_task6_time12;user3_task9_time12;user4_task2_time12;user4_task3_time12;user4_task4_time12;user4_task8_time12;user4_task9_time12;user4_task10_time12;user5_task1_time12;user5_task3_time12;user5_task4_time12;user5_task6_time12;user1_task4_time13;user1_task8_time13;user1_task9_time13;user1_task10_time13;user2_task1_time13;user2_task3_time13;user2_task4_time13;user2_task7_time13;user2_task9_time13;user3_task3_time13;user3_task4_time13;user3_task5_time13;user3_task6_time13;user3_task9_time13;user4_task2_time13;user4_task3_time13;user4_task4_time13;user4_task8_time13;user4_task9_time13;user5_task1_time13;user5_task3_time13;user5_task4_time13;user5_task6_time13;user5_task8_time13;user1_task4_time14;user1_task8_time14;user1_task9_time14;user1_task10_time14;user2_task1_time14;user2_task3_time14;user2_task4_time14;user2_task7_time14;user2_task9_time14;user3_task3_time14;user3_task4_time14;user3_task5_time14;user3_task6_time14;user3_task9_time14;user4_task2_time14;user4_task3_time14;user4_task4_time14;user4_task8_time14;user4_task9_time14;user5_task1_time14;user5_task3_time14;user5_task4_time14;user5_task6_time14;user5_task8_time14;user1_task4_time15;user1_task8_time15;user2_task1_time15;user2_task3_time15;user2_task4_time15;user2_task7_time15;user2_task9_time15;user3_task2_time15;user3_task3_time15;user3_task4_time15;user3_task5_time15;user3_task6_time15;user3_task9_time15;user4_task2_time15;user4_task3_time15;user4_task4_time15;user4_task8_time15;user4_task9_time15;user5_task1_time15;user5_task3_time15;user5_task4_time15;user5_task6_time15;user5_task8_time15;user5_task9_time15;user1_task4_time16;user1_task8_time16;user2_task1_time16;user2_task3_time16;user2_task4_time16;user2_task7_time16;user2_task9_time16;user3_task2_time16;user3_task4_time16;user3_task5_time16;user3_task6_time16;user3_task9_time16;user4_task2_time16;user4_task3_time16;user4_task4_time16;user4_task5_time16;user4_task8_time16;user4_task9_time16;user5_task1_time16;user5_task3_time16;user5_task4_time16;user5_task5_time16;user5_task6_time16;user5_task8_time16;user5_task9_time16;user1_task4_time17;user1_task8_time17;user2_task1_time17;user2_task3_time17;user2_task4_time17;user2_task7_time17;user2_task9_time17;user3_task2_time17;user3_task4_time17;user3_task6_time17;user3_task9_time17;user4_task2_time17;user4_task3_time17;user4_task5_time17;user4_task8_time17;user4_task9_time17;user5_task1_time17;user5_task5_time17;user5_task6_time17;user5_task8_time17;user5_task9_time17;user5_task10_time17;user1_task2_time18;user1_task4_time18;user1_task6_time18;user1_task8_time18;user2_task1_time18;user2_task3_time18;user2_task4_time18;user2_task6_time18;user2_task7_time18;user3_task2_time18;user3_task6_time18;user3_task9_time18;user4_task2_time18;user4_task3_time18;user4_task5_time18;user4_task8_time18;user4_task9_time18;user5_task1_time18;user5_task2_time18;user5_task5_time18;user5_task6_time18;user5_task9_time18;user5_task10_time18;user1_task2_time19;user1_task3_time19;user1_task4_time19;user1_task6_time19;user2_task1_time19;user2_task3_time19;user2_task4_time19;user2_task5_time19;user2_task6_time19;user2_task7_time19;user3_task2_time19;user3_task9_time19;user4_task2_time19;user4_task3_time19;user4_task6_time19;user4_task8_time19;user4_task9_time19;user5_task1_time19;user5_task2_time19;user5_task5_time19;user5_task9_time19;user5_task10_time19;user1_task1_time20;user1_task2_time20;user1_task3_time20;user1_task4_time20;user1_task6_time20;user2_task1_time20;user2_task3_time20;user2_task4_time20;user2_task6_time20;user2_task7_time20;user3_task1_time20;user3_task2_time20;user3_task8_time20;user3_task9_time20;user4_task2_time20;user4_task6_time20;user4_task9_time20;user5_task1_time20;user5_task2_time20;user5_task5_time20;user5_task9_time20;user5_task10_time20;user1_task1_time21;user1_task2_time21;user1_task3_time21;user2_task1_time21;user2_task3_time21;user2_task6_time21;user2_task7_time21;user2_task8_time21;user3_task1_time21;user3_task2_time21;user3_task7_time21;user3_task8_time21;user3_task9_time21;user4_task6_time21;user5_task2_time21;user5_task5_time21;user5_task9_time21;user5_task10_time21;user1_task1_time22;user1_task2_time22;user2_task1_time22;user2_task3_time22;user2_task7_time22;user2_task8_time22;user3_task1_time22;user3_task7_time22;user3_task8_time22;user4_task6_time22;user4_task7_time22;user5_task2_time22;user5_task5_time22;user5_task9_time22;user5_task10_time22;user1_task1_time23;user1_task2_time23;user2_task3_time23;user2_task7_time23;user2_task8_time23;user3_task1_time23;user3_task7_time23;user3_task8_time23;user4_task6_time23;user4_task7_time23;user5_task5_time23;user5_task9_time23;user5_task10_time23;RHS
min;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
R1;1;-4.5128534012;-3.436581075236;-3.436581075236;-3.682555591348;-3.682555591348;-3.682555591348;-3.682555591348;-3.682555591348;-3.062717574676;-3.062717574676;-3.062717574676;-3.062717574676;-3.062717574676;-3.062717574676;-3.456278125468;-3.456278125468;-3.456278125468;-3.456278125468;-3.456278125468;-3.456278125468;-3.456278125468;-3.456278125468;-3.456278125468;-3.456278125468;-4.028038536544;-4.028038536544;-4.028038536544;-4.028038536544;-4.028038536544;-4.028038536544;-4.028038536544;-4.028038536544;-4.028038536544;-4.028038536544;-4.028038536544;-4.028038536544;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-3.530470245052;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-4.292340091904;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-5.01899399964;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-4.783189681;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-5.396493730912;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-3.62164525354;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-6.525114050672;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-4.342636314832;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-5.857222690072;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.381602387856;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.115519297008;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.294755543824;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-6.51314457288;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.250189506016;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.913804588632;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.123826856912;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.629438122288;-5.753544755624;-5.753544755624;-5.753544755624;-5.753544755624;-5.753544755624;-5.753544755624;-5.753544755624;-5.753544755624;-5.753544755624;-5.753544755624;-5.753544755624;-5.753544755624;-5.753544755624;0
R2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
R3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
R4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
R5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
R6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
R7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
R8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
R9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
